num,gX,gY,gZ,aX,aY,aZ,pitch,roll
0.0,35.12168,-1.43756,6.62076,-0.01792,0.10734,0.19938,0.492187,-0.078995
0.0,35.99191,0.69985,6.81924,-0.00425,0.01164,-0.15609,0.074381,-0.027165
0.0,35.07588,-0.49099,6.6513,0.00112,-0.11825,-0.05453,-1.138652,0.008587
0.0,32.51099,-2.17038,6.39176,-0.05064,0.00236,0.27702,0.008375,-0.180801
0.0,30.05298,1.1884,5.8574,-0.02378,0.0424,-0.07601,0.489177,-0.266757
0.0,29.97664,-0.35359,5.5826,-0.01451,0.04093,0.01676,1.074439,-0.316917
0.0,31.64076,-0.97954,6.33069,-0.00816,0.08488,0.20475,0.392699,-0.036795
0.0,31.13695,1.58534,6.26962,0.00014,0.01652,-0.08236,0.197943,0.001686
0.0,31.77817,-1.23908,5.93374,0.02651,0.05656,0.01432,1.081308,0.426477
0.0,31.97664,-0.03298,6.01008,-0.02769,0.07316,0.0612,0.828055,-0.282551
0.0,25.88504,0.22656,4.98718,0.00844,0.02726,-0.01253,1.064613,0.274282
0.0,29.03008,-0.82687,5.53679,-0.00376,-0.01961,0.11149,-0.17405,-0.033244
0.0,20.84687,0.57771,4.02534,-0.00279,-0.04745,-0.04916,-0.766907,-0.040787
0.0,15.93084,0.57771,2.42229,0.006,0.00041,-0.0555,0.007259,0.107699
0.0,17.48809,0.92885,3.72,0.01821,0.06388,-0.01742,1.195101,0.268356
0.0,8.6026,-0.44519,1.44519,-0.04332,0.01603,0.00846,0.3484,-1.174462
0.0,1.56443,0.57771,0.14748,-0.0023,0.02775,-0.11654,0.233714,-0.019195
0.0,-1.59588,-0.56733,-0.28,-0.01255,0.0341,0.10612,0.308871,-0.112155
0.0,-3.87069,-0.36886,-0.50901,-0.00132,0.08585,0.04752,1.065071,-0.013484
0.0,-4.81725,0.27237,-0.46321,-0.00181,0.01505,0.05192,0.282045,-0.033498
0.0,-4.87832,0.74565,-1.28763,-0.00669,0.03947,-0.12093,0.315012,-0.052576
0.0,-7.80962,1.52427,-1.42504,-0.00718,0.038,-0.05453,0.604657,-0.107651
0.0,-10.96992,-0.32305,-2.2342,-0.015,0.01554,0.0778,0.193704,-0.186806
0.0,-11.80962,0.3029,-2.63115,-0.00572,0.00724,-0.04476,0.159115,-0.125439
0.0,-15.76382,0.27237,-2.61588,0.00307,0.0214,0.01627,0.912198,0.11374
0.0,-8.02336,0.83725,-1.68458,-0.02378,0.03605,0.01432,0.914536,-0.55003
0.0,-10.2829,-0.42992,-1.80672,-0.01451,0.01359,0.09098,0.14644,-0.156411
0.0,-11.24473,-0.65893,-2.17313,-0.02037,0.00041,0.00407,0.019512,-1.372726
0.0,-17.22947,-0.5826,-3.56244,-0.00767,0.03166,0.00749,1.24433,-0.231591
0.0,-20.2371,0.97466,-3.63878,-0.01695,0.02335,-0.03939,0.498714,-0.354474
0.0,-23.71802,-1.08641,-4.93649,-0.00376,0.04337,0.13004,0.321805,-0.027455
0.0,-21.82489,-0.29252,-4.21893,-0.00865,0.0507,0.11295,0.420798,-0.069731
0.0,-23.79435,-1.22382,-4.4174,-0.03013,0.04826,0.11295,0.391483,-0.240562
0.0,-21.1684,0.2571,-4.1884,0.01088,0.02677,0.06754,0.373004,0.148693
0.0,-17.77909,-1.07115,-3.22656,0.01088,0.04582,0.11442,0.379315,0.088078
0.0,-18.52718,-0.10931,-3.45557,-0.02085,0.03068,-0.01644,0.857314,-0.539802
0.0,-21.73328,-0.07878,-4.31053,-0.00962,0.03751,0.07243,0.474352,-0.117448
0.0,-16.43557,0.01282,-2.95176,-0.01646,0.05851,-0.02181,1.133885,-0.257733
