num,time,gX,gY,gZ,aX,aY,aZ,pitch,roll
0.0,184081095.0,-0.005811946409141118,-0.015393804002589986,0.010367255756846317,0.021,0.095,-0.047,1.0742123044558634,0.1955976481230391
0.0,184178595.0,0.053878314009064954,-0.011135200627723822,0.003961897402027128,0.0,0.002,-0.065,0.03075952607046923,0.0
0.0,184276143.0,0.07651523440743141,-0.00926769832808989,0.009023352232810684,0.016,-0.016,0.025,-0.4944003136794601,0.4944003136794601
0.0,184373599.0,0.01630137521362704,0.06508332780686855,0.0037000980142279784,0.041,0.06,-0.367,0.16106947377351372,0.10980940066784108
0.0,184471107.0,-0.025010568181078743,-0.0007330382858376184,0.0010297442586766543,-0.032,-0.045,-0.088,-0.4479881586253174,-0.3131111217853172
0.0,184568607.0,-0.036198128686362394,0.03869394951671429,-0.0056199601914217415,0.014,-0.018,-0.076,-0.22884286874055493,0.1773679618444393
0.0,184666123.0,-0.06150540284028017,-0.019390607989657,-0.011484266478122689,-0.026,-0.086,0.339,-0.24774799260632613,-0.0742047636996018
0.0,184763603.0,-0.011152653920243767,0.012845623294678265,-0.0010995574287564276,0.021,-0.039,-0.188,-0.2033159721757795,0.10894049106314892
0.0,184861102.0,-0.03939208121751202,-0.04604178566761041,-0.0064228116473391324,-0.073,-0.068,0.336,-0.1952477119294777,-0.20981090364274224
0.0,184958619.0,-0.05883504908472885,0.07894124206770352,-0.010419615634406148,-0.043,-0.021,0.117,-0.16690244052193365,-0.34709571293206626
0.0,185056121.0,-0.019669860669976093,0.04562290664713177,-0.0056199601914217415,-0.011,-0.084,-0.066,-0.8981612181852344,-0.10260862956868719
0.0,185153631.0,-0.021013764194011728,-0.12250466019748199,0.0037000980142279784,0.0,0.053,0.089,0.5371082540943802,0.0
0.0,185251149.0,-0.0074176493209759005,0.09093165402890457,-0.010157816246606997,0.017,0.015,-0.39,0.038406156129074526,0.04353002305072808
0.0,185348632.0,-0.011152653920243767,0.02431243648028101,-0.010419615634406148,0.008,-0.057,0.078,-0.6285888803700238,0.0826208356145995
0.0,185446141.0,-0.025534166956677044,0.012845623294678265,0.009826203688728075,0.018,0.094,-0.285,0.3179977141719879,0.05990790499391954
0.0,185543639.0,-0.04977679026687828,0.018989182261698306,0.001832595714594046,0.052,-0.033,0.082,-0.3276158846024568,0.5317676930459525
0.0,185641144.0,-0.11159635237251743,0.04642575810304917,-0.000296705972839036,0.071,0.025,0.01,0.3354906363482551,1.2083162471338535
0.0,185738648.0,-0.11053170152880089,-0.012199851471440364,-0.013351768777756621,0.023,0.072,-0.277,0.2534652449493487,0.08018979892343675
0.0,185836172.0,-0.028204520712228367,-0.036966073557239895,0.00022689280275926284,-0.069,-0.097,0.286,-0.31847815459757234,-0.2246200661205489
0.0,185933672.0,-0.08974483013754843,0.03469714552964727,-0.01096066770252439,-0.018,-0.043,-0.156,-0.26727280465652786,-0.1107808010335732
0.0,186031173.0,-0.03352777493081107,-0.13156291901533257,0.003961897402027128,-0.0,-0.001,0.52,-0.001923074552425227,-0.0
0.0,186128690.0,0.002181661564992912,-0.0023387411976724015,0.011693705988362009,0.046,0.044,-0.34,0.12754718328096218,0.1333786410174304
0.0,186226192.0,-0.02473131550075965,-0.03590142271352336,0.0015707963267948964,-0.015,-0.046,-0.008,-1.2167988899630005,-0.31084974968265644
0.0,186323685.0,-0.04818854064756344,-0.0023387411976724015,-0.005899212871740834,0.013,0.035,0.245,0.14170037972656457,0.05247970073503073
0.0,186421186.0,-0.06204645490839842,0.006457718232379019,0.0045029494701453706,-0.011,0.004,-0.005,0.3196872591302799,-1.043640933830179
0.0,186518697.0,-0.09773843811168245,0.018709929581379212,-0.015760323145508796,0.07,0.038,-0.319,0.11583300314450906,0.21454179353125583
0.0,186616210.0,-0.027663468644110123,0.062412974051317224,-0.000296705972839036,0.003,0.004,-0.445,0.008988317724819301,0.006741198580820333
0.0,186762452.0,0.0005759586531581288,0.01684242728174528,-0.005899212871740834,-0.017,0.03,0.027,0.7546175154397015,-0.39864762930389996
0.0,186859936.0,-0.05537929716578008,-0.0023387411976724015,-0.005096361415823442,0.037,-0.001,0.103,-0.009136834537399127,0.3448528286315577
0.0,186957473.0,-0.028204520712228367,0.013927727430914751,0.003961897402027128,0.031,-0.002,-0.203,-0.00973900220528329,0.15153138707122515
0.0,187054954.0,-0.03246312408709453,0.007260569688296411,-0.0008377580409572782,0.04,-0.006,-0.184,-0.03185366876764661,0.21395040549167718
0.0,187152464.0,-0.060178952608764484,0.04029965242854907,-0.0045553093477052,0.028,0.024,-0.433,0.05525542385934622,0.06447652726306026
0.0,187249956.0,-0.004223696789826277,-0.025778513051956248,-0.0048345620280242935,-0.003,-0.004,-0.069,-0.05785167288108526,-0.04337815892544064
0.0,187347469.0,0.005375614096142535,0.010995574287564275,-0.0016231562043547264,0.008,0.007,-0.045,0.15197327189702464,0.17389097859688907
0.0,187444971.0,-0.019669860669976093,0.016057029118347832,-0.0021642082724729686,0.005,-0.015,-0.183,-0.08175400690331701,0.027224351905171
0.0,187542483.0,0.0024434609527920616,-0.006597344572538566,-3.490658503988659e-05,0.011,-0.005,-0.002,-0.42053433528396517,1.115535192838404
0.0,187639976.0,-0.013281955607676848,-0.007661995416255106,-0.0032288591161895096,0.014,0.009,-0.063,0.13856166688486082,0.21653959946551554
0.0,187737471.0,0.004572762640225144,-0.016720254234105676,0.005567600313861911,0.018,0.019,-0.075,0.24152922610700425,0.22858433971553135
0.0,187834980.0,0.036023595761162965,0.08559094651780191,-0.005358160803622592,0.011,-0.046,-0.635,-0.07230381658888646,0.01727584142928016
0.0,187932482.0,-0.0074176493209759005,0.025115287936198404,0.00022689280275926284,-0.01,-0.019,0.094,-0.1983506691235977,-0.10389872786548168
0.0,188029979.0,0.029897490086662867,0.013927727430914751,0.010088003076527224,-0.005,-0.005,0.044,-0.11243351172521711,-0.11243351172521711
0.0,188127499.0,0.06745697558958084,-0.01619665545850738,0.014887658519511631,0.052,0.038,-0.188,0.1924030115062556,0.26474886778634077
0.0,188225004.0,-0.03700098014227979,0.016318828506146982,-3.490658503988659e-05,0.028,-0.044,-0.407,-0.10743788116012794,0.06829117518912091
0.0,188322506.0,-0.021275563581810878,-0.004991641660703782,-0.0045553093477052,0.003,-0.072,-0.386,-0.18440383302605015,0.007640095440856948
0.0,188419999.0,0.021362830044410593,-0.06496115475922895,0.00476474885794452,0.015,-0.036,0.006,-1.148970956039767,0.3899508556773947
0.0,188517515.0,0.05707226654021458,0.07759733854366789,-0.005096361415823442,-0.005,-0.101,-0.261,-0.3691644210111499,-0.017864131955600274
0.0,188615020.0,0.03495894491744642,0.03576179637336381,0.004223696789826277,-0.002,-0.011,-0.038,-0.2814026602063056,-0.05051300763311473
0.0,188712527.0,-0.022078415037728265,0.02405063709248186,0.004223696789826277,0.015,0.043,-0.015,1.1124986899795752,0.31818126865070445
0.0,188810015.0,0.08237954069413235,0.003787364476827695,0.012217304763960306,0.014,-0.012,-0.131,-0.09083373837506181,0.10602556355025541
0.0,188907524.0,0.06906267850141562,0.05708971983273452,0.008761552845011534,0.03,0.03,-0.313,0.09512147272636332,0.09512147272636332
0.0,189005040.0,0.09704030641088472,-0.10732029570513132,0.016493361431346415,0.008,0.078,0.425,0.1814780232509895,0.018512187719192934
0.0,189102542.0,0.09117600012418378,0.029112091923265415,0.01329940890019679,0.082,0.089,-0.309,0.27151530838900273,0.24968405450228096
0.0,189200035.0,0.08611454529340022,-0.03537782393792506,0.003159045946109736,-0.02,0.049,0.029,0.9474748237279406,-0.3377931239392417
0.0,189297539.0,0.17271778277735886,0.05867796945204936,0.014887658519511631,0.099,-0.061,-0.598,-0.10029921897194859,0.16323181979705018
0.0,189395044.0,-0.029530970943744055,-0.040177479380909466,0.003159045946109736,-0.066,-0.007,0.279,-0.024410899362176806,-0.23221851120799683
0.0,189492562.0,-0.029530970943744055,0.008848819307611252,-0.004031710572106902,-0.01,0.035,-0.087,0.3802195805901149,-0.10623525085207242
0.0,189590051.0,0.012566370614359171,-0.015393804002589986,0.0026354471705114374,0.0,0.076,-0.063,0.8786520785022282,0.0
0.0,189687567.0,-0.04845034003536258,-0.022846359908605774,0.0010297442586766543,0.011,0.038,0.041,0.7301409584286941,0.1942917038505261
0.0,189785063.0,-0.027401669256310976,0.013124875974997358,-0.0005585053606381855,0.055,0.04,-0.26,0.14939390843213982,0.2061095755168755
0.0,189882575.0,-0.06391395720803235,-0.006597344572538566,-0.007487462491055674,-0.003,-0.036,-0.05,-0.6231712987608355,-0.04865363352922694
0.0,189980071.0,-0.029269171555944908,0.034173546754048975,-0.0005585053606381855,-0.005,-0.063,-0.124,-0.46975044180397024,-0.03593342872048137
0.0,190077572.0,-0.06524040743954804,-0.04469788214357478,-0.017348572764823635,-0.01,0.024,0.433,0.055355864979806574,-0.023055208420266385
0.0,190175078.0,-0.03352777493081107,0.010716321607245184,0.007435102613495843,-0.001,-0.078,-0.125,-0.5578655196487072,-0.006786930819835775
0.0,190272580.0,-0.051644292566512214,0.04242895411598215,-0.005899212871740834,-0.037,-0.062,-0.346,-0.1763245519160569,-0.10487367366773516
0.0,190370094.0,-0.021013764194011728,-0.033510321638291124,-0.011763519158441782,-0.119,-0.044,-0.025,-0.34719144002208024,-1.168702746961624
0.0,190467587.0,-0.0183434104384604,0.010192722831646885,-0.004031710572106902,-0.001,-0.087,0.108,-0.6780983667271105,-0.0072105593765635365
0.0,190565097.0,-0.010349802464326374,-0.06096435077216193,0.00022689280275926284,-0.014,0.041,0.288,0.1412463362070825,-0.048088777974938324
0.0,190662596.0,-0.02314306588144481,0.049096111858600494,-0.0024260076602721182,0.058,-0.109,-0.384,-0.2736305058325019,0.14429156223934575
0.0,190760092.0,-0.035395277230445006,-0.0534943415736262,-0.005096361415823442,0.025,-0.012,0.184,-0.06453388968095508,0.13475981119943523
0.0,190906358.0,-0.07297221602588291,0.008848819307611252,-0.006702064327658226,0.08,0.055,-0.171,0.28348537986581673,0.41899392341140285
0.0,191003872.0,0.0096342174710087,0.04003785304074992,-0.001361356816555577,0.037,0.085,-0.256,0.31749960042479125,0.1363171806089732
0.0,191101365.0,-0.0060911990894602095,-0.023649211364523165,-0.0027052603405912107,0.035,-0.02,0.099,-0.18821316992025067,0.3335843214997931
0.0,191198868.0,-0.025534166956677044,0.03363249468593073,-0.0045553093477052,-0.045,-0.014,-0.194,-0.07018306365232593,-0.22735693749231572
0.0,191296378.0,-0.022863813201125717,-0.003141592653589793,-0.0027052603405912107,0.02,-0.095,0.062,-0.9697001428398441,0.17450883788335125
0.0,191393888.0,0.011763519158441782,-0.024190263432641405,0.008220500776893291,0.014,-0.026,-0.124,-0.2054148778959971,0.11005381936585325
0.0,191491385.0,-0.029792770331543206,-0.00047123889803846896,0.008220500776893291,0.001,0.0,0.062,0.0,0.016127633843636236
0.0,191588915.0,-0.04125958351714595,0.01764527873766267,0.003438298626428829,0.011,-0.014,0.048,-0.27698878001643307,0.21655030497608926
0.0,191686382.0,-0.05005604294719737,0.007260569688296411,-0.004031710572106902,-0.021,-0.073,0.012,-1.2508537645861737,-0.2765859158519925
0.0,191783907.0,-0.018081611050661254,0.020856684561332238,-0.0010995574287564276,0.028,0.132,0.071,1.04656453226675,0.1846832540260305
0.0,191881397.0,-0.008220500776893291,0.007260569688296411,0.0015707963267948964,0.002,-0.087,-0.204,-0.40309824885066087,0.009017826702662168
0.0,192027653.0,0.006702064327658226,0.0013962634015954637,0.008761552845011534,0.017,-0.083,0.025,-1.2214868320530163,0.19365830044432666
0.0,192125137.0,-0.049253191491279984,0.033108895910332434,-0.008290313946973065,-0.024,0.008,0.014,0.2803435319988826,-0.9792105255184048
0.0,192222681.0,-0.017016960206944712,-0.026319565120074488,-0.0027052603405912107,-0.03,-0.043,-0.061,-0.5640159528221774,-0.3822035106581792
0.0,192320160.0,-0.019408061282176946,-0.0068591439603377154,-0.0021642082724729686,-0.014,-0.044,0.025,-0.9935732345290542,-0.269895159385567
0.0,192417685.0,-0.006352998477259359,-0.005270894341022875,0.000767944870877505,0.013,0.002,-0.068,0.028880553433495545,0.18881745818277498
0.0,192515163.0,-0.01647590813882647,0.003525565089028546,-0.0042935099599060505,0.013,-0.012,-0.165,-0.07237594940044904,0.07841919259572311
0.0,192612665.0,-0.011152653920243767,-0.0023387411976724015,-3.490658503988659e-05,0.005,-0.019,-0.152,-0.12428845944847795,0.03262913504534669
0.0,192710167.0,-0.007155849933176751,-0.02125811028929093,-0.000296705972839036,-0.017,-0.037,-0.25,-0.14659968451068145,-0.06716609502332518
0.0,192807702.0,0.029356438018544623,-0.027122416575991883,0.010088003076527224,-0.027,0.016,0.039,0.3253249307119561,-0.5696687792573575
0.0,192905182.0,0.11648327427810157,0.016318828506146982,0.005829399701661061,-0.02,-0.086,-0.257,-0.32201001731357026,-0.07366518889766357
0.0,193002698.0,0.06958627727701393,-0.04363323129985824,0.00476474885794452,-0.013,0.014,0.213,0.0655117402865345,-0.06082632738702758
0.0,193100192.0,0.047472955654245766,-0.04604178566761041,0.0026354471705114374,-0.002,0.005,0.382,0.013088078473580934,-0.005235105839253907
0.0,193197718.0,0.056007615696498037,-0.06281439977927593,-3.490658503988659e-05,-0.034,-0.108,-0.251,-0.40304301479977644,-0.1237923930955635
0.0,193295201.0,0.071715578964447,-0.019128808601857852,0.01329940890019679,0.027,0.021,-0.175,0.11804537522257288,0.15200507021669168
0.0,193392719.0,0.04480260189869444,0.05948082090796675,0.001832595714594046,0.064,-0.019,-0.665,-0.028432358757917105,0.09590620928431447
